full_name,email,phone,role,department
Sanjeewa Lakmal,sanjeewa.lakmal.tra21@lankalogix.lk,0787234309,user,transportation
Nuwan Warnakulasuriya,nuwan.warnakulasuriya.tra22@lankalogix.lk,0750097882,user,transportation
Kavindi Silva,kavindi.silva.tra23@lankalogix.lk,0721913619,user,transportation
Kamal Fernando,kamal.fernando.tra24@lankalogix.lk,0791699854,user,transportation
Duminda Rathnayake,duminda.rathnayake.tra25@lankalogix.lk,0734624751,user,transportation
Maleesha Madushanka,maleesha.madushanka.tra26@lankalogix.lk,0711838425,user,transportation
Niroshan Samarasinghe,niroshan.samarasinghe.tra27@lankalogix.lk,0754278498,user,transportation
Hiruni Ekanayake,hiruni.ekanayake.tra28@lankalogix.lk,0712411824,user,transportation
Ruwan Mendis,ruwan.mendis.tra29@lankalogix.lk,0753487401,user,transportation
Pubudu Rajapaksha,pubudu.rajapaksha.tra30@lankalogix.lk,0700524278,user,transportation
Harsha Perera,harsha.perera.tra31@lankalogix.lk,0711280598,user,transportation
Sampath Fernando,sampath.fernando.tra32@lankalogix.lk,0745053315,user,transportation
Niroshan Mallawarachchi,niroshan.mallawarachchi.tra33@lankalogix.lk,0769232260,user,transportation
Arosha Rathnayake,arosha.rathnayake.tra34@lankalogix.lk,0763421607,user,transportation
Pubudu Abeysekera,pubudu.abeysekera.tra35@lankalogix.lk,0754330365,user,transportation
Dilan Pathirana,dilan.pathirana.tra36@lankalogix.lk,0745868501,user,transportation
Gayan Gunawardena,gayan.gunawardena.tra37@lankalogix.lk,0794019655,user,transportation
Supun Jayasinghe,supun.jayasinghe.tra38@lankalogix.lk,0769340608,user,transportation
Harsha Gunasekara,harsha.gunasekara.tra39@lankalogix.lk,0735615951,user,transportation
Dinesh Dissanayake,dinesh.dissanayake.tra40@lankalogix.lk,0746564823,user,transportation
Asanka Gunasekara,asanka.gunasekara.tra41@lankalogix.lk,0729946804,user,transportation
Lahiru Lakmal,lahiru.lakmal.tra42@lankalogix.lk,0799577738,user,transportation
Niroshan Lakmal,niroshan.lakmal.tra43@lankalogix.lk,0721489513,user,transportation
Pradeep Lakmal,pradeep.lakmal.tra44@lankalogix.lk,0732003791,user,transportation
Niroshan DeSilva,niroshan.desilva.tra45@lankalogix.lk,0793676320,user,transportation
Isuru Pathirana,isuru.pathirana.tra46@lankalogix.lk,0716328708,user,transportation
Isuru Jayasinghe,isuru.jayasinghe.tra47@lankalogix.lk,0772788957,user,transportation
Sanjeewa Dissanayake,sanjeewa.dissanayake.tra48@lankalogix.lk,0768727743,user,transportation
Gayan Pathirana,gayan.pathirana.tra49@lankalogix.lk,0787347143,user,transportation
Nimal Wijeratne,nimal.wijeratne.tra50@lankalogix.lk,0712236231,user,transportation
Nimal Wijeratne,nimal.wijeratne.tra51@lankalogix.lk,0776036690,user,transportation
Ravindu Madushanka,ravindu.madushanka.tra52@lankalogix.lk,0767054668,user,transportation
Harsha Lakmal,harsha.lakmal.tra53@lankalogix.lk,0793734670,user,transportation
Amila Gunasekara,amila.gunasekara.tra54@lankalogix.lk,0762729806,user,transportation
Amila Perera,amila.perera.tra55@lankalogix.lk,0716272046,user,transportation
Sachintha Rathnayake,sachintha.rathnayake.ele1@lankalogix.lk,0756464170,user,electrical
Nuwan Herath,nuwan.herath.ele2@lankalogix.lk,0731003309,user,electrical
Sampath Peiris,sampath.peiris.ele3@lankalogix.lk,0719374529,user,electrical
Sanjeewa Mendis,sanjeewa.mendis.ele4@lankalogix.lk,0712419049,user,electrical
Asanka Karunaratne,asanka.karunaratne.ele5@lankalogix.lk,0731931491,user,electrical
Manjula Lakmal,manjula.lakmal.ele6@lankalogix.lk,0705865185,user,electrical
Upeksha Jayawardena,upeksha.jayawardena.ele7@lankalogix.lk,0771657262,user,electrical
Roshan Rajapaksha,roshan.rajapaksha.ele8@lankalogix.lk,0798776945,user,electrical
Pubudu Silva,pubudu.silva.ele9@lankalogix.lk,0747379965,user,electrical
Sanduni Gunawardena,sanduni.gunawardena.ele10@lankalogix.lk,0773545494,user,electrical
Supun Bandara,supun.bandara.sof1@lankalogix.lk,0713678377,user,software
Kasun Silva,kasun.silva.sof2@lankalogix.lk,0743634957,user,software
Chathura Senanayake,chathura.senanayake.sof3@lankalogix.lk,0785574443,user,software
Madushi Rathnayake,madushi.rathnayake.sof4@lankalogix.lk,0718233749,user,software
Supun Kumara,supun.kumara.sof5@lankalogix.lk,0741343524,user,software
Hiruni Wijesinghe,hiruni.wijesinghe.sof6@lankalogix.lk,0740084271,user,software
Manjula Ekanayake,manjula.ekanayake.sof7@lankalogix.lk,0777752047,user,software
Ishara Karunaratne,ishara.karunaratne.sof8@lankalogix.lk,0771902294,user,software
Pradeep Jayasinghe,pradeep.jayasinghe.mec1@lankalogix.lk,0786999386,user,mechanical
Sachintha Ekanayake,sachintha.ekanayake.mec2@lankalogix.lk,0796499091,user,mechanical
Ruwan DeSilva,ruwan.desilva.mec3@lankalogix.lk,0734123281,user,mechanical
Lahiru Abeysekera,lahiru.abeysekera.mec4@lankalogix.lk,0797403447,user,mechanical
Nisansala Rajapaksha,nisansala.rajapaksha.mec5@lankalogix.lk,0793618324,user,mechanical
Dilan Fernando,dilan.fernando.mec6@lankalogix.lk,0724994717,user,mechanical
Duminda Karunaratne,duminda.karunaratne.mec7@lankalogix.lk,0748877190,user,mechanical
Sanjeewa Rathnayake,sanjeewa.rathnayake.mec8@lankalogix.lk,0794013990,user,mechanical
Amila Jayawardena,amila.jayawardena.mec9@lankalogix.lk,0749027874,user,mechanical
Manjula Senanayake,manjula.senanayake.mec10@lankalogix.lk,0771756551,user,mechanical
Nimal Senanayake,nimal.senanayake.mec11@lankalogix.lk,0774680715,user,mechanical
Tharindu Pathirana,tharindu.pathirana.mec12@lankalogix.lk,0768087603,user,mechanical
Kamal Pathirana,kamal.pathirana.mec13@lankalogix.lk,0777034824,user,mechanical
Duminda Peiris,duminda.peiris.mec14@lankalogix.lk,0710932480,user,mechanical
Dilan Samarasinghe,dilan.samarasinghe.mec15@lankalogix.lk,0717127484,user,mechanical
Madhusha Peiris,madhusha.peiris.mec16@lankalogix.lk,0737826398,user,mechanical
Sampath Mallawarachchi,sampath.mallawarachchi.mec17@lankalogix.lk,0714658404,user,mechanical
Pubudu Madushanka,pubudu.madushanka.mec18@lankalogix.lk,0797278755,user,mechanical
